traj,frame,time_ps,outcome,first_frame,state,score,SerO-C,C-Oleave,SerH-SerO,SerH-His,SerH-Oleave,His-Oleave
refined02_micro_relax_5cyc_rep7_1500step.nc,11,0.022,reactant_basin,32,early_region,0.06842598217583612,2.1170737743377686,1.8590054512023926,1.0206491947174072,1.5822651386260986,2.930243492126465,3.724449872970581
refined02_micro_relax_5cyc_rep3_1500step.nc,22,0.044,none,,early_region,0.06889619346076083,2.208200693130493,1.8103220462799072,1.0435357093811035,1.7379100322723389,2.9000649452209473,3.870961904525757
refined02_micro_relax_5cyc_rep6_1500step.nc,8,0.016,tetint_basin,21,early_region,0.06918246746157122,1.8988388776779175,1.9642109870910645,1.1823208332061768,1.3833773136138916,2.8381881713867188,3.57680082321167
refined02_micro_relax_5cyc_rep7_1500step.nc,10,0.02,reactant_basin,32,early_region,0.06942793820785864,2.1082923412323,1.856776475906372,1.0115153789520264,1.5670548677444458,2.8890373706817627,3.7065420150756836
refined02_micro_relax_5cyc_rep7_1500step.nc,6,0.012,reactant_basin,32,early_region,0.06960298175974358,2.0757009983062744,1.829176902770996,1.072577953338623,1.5100362300872803,2.735750913619995,3.6445741653442383
refined02_micro_relax_5cyc_rep8_1500step.nc,21,0.042,tetint_basin,33,early_region,0.07220263347135088,2.088069438934326,1.8884007930755615,1.363692045211792,1.2747063636779785,3.0684242248535156,3.9102721214294434
refined02_micro_relax_5cyc_rep3_1500step.nc,19,0.038,none,,early_region,0.07246711693085972,2.1482033729553223,1.8209682703018188,0.9647209644317627,1.7708390951156616,2.9347119331359863,3.841261625289917
refined02_micro_relax_5cyc_rep1_1500step.nc,7,0.014,tetint_basin,13,early_region,0.07303212321167579,1.8871803283691406,1.9191734790802002,1.2635493278503418,1.234871506690979,2.8025918006896973,3.5608558654785156
refined02_micro_relax_5cyc_rep8_1500step.nc,7,0.014,tetint_basin,33,early_region,0.07378334044914202,2.0660171508789062,1.8354532718658447,1.153257131576538,1.3333754539489746,2.924659252166748,3.7029898166656494
refined02_micro_relax_5cyc_rep7_1500step.nc,14,0.028,reactant_basin,32,early_region,0.07467777657249933,2.1353228092193604,1.8467717170715332,1.0258878469467163,1.6602346897125244,2.9848361015319824,3.7460920810699463
refined02_micro_relax_5cyc_rep7_1500step.nc,5,0.01,reactant_basin,32,early_region,0.07572042918403989,2.071357250213623,1.8210052251815796,1.0560481548309326,1.53751802444458,2.716309070587158,3.641392230987549
refined02_micro_relax_5cyc_rep8_1500step.nc,18,0.036000000000000004,tetint_basin,33,early_region,0.07652329552540343,2.093153476715088,1.8643946647644043,1.3348453044891357,1.2586241960525513,3.2126383781433105,3.886561393737793
refined02_micro_relax_5cyc_rep8_1500step.nc,24,0.048,tetint_basin,33,early_region,0.07717213458773936,2.060671806335449,1.9223994016647339,1.4047982692718506,1.2734366655349731,3.0214481353759766,3.9497735500335693
refined02_micro_relax_5cyc_rep6_1500step.nc,9,0.018000000000000002,tetint_basin,21,early_region,0.0775862090273978,1.9042562246322632,1.9744446277618408,1.2405978441238403,1.3286786079406738,2.81885027885437,3.583591938018799
refined02_micro_relax_5cyc_rep8_1500step.nc,6,0.012,tetint_basin,33,early_region,0.07913351030013802,2.070152997970581,1.83576238155365,1.1517003774642944,1.3152098655700684,2.9424052238464355,3.677243232727051
refined02_micro_relax_5cyc_rep8_1500step.nc,20,0.04,tetint_basin,33,early_region,0.07958505176357894,2.0917434692382812,1.8810254335403442,1.3644713163375854,1.250918984413147,3.1347415447235107,3.898589611053467
refined02_micro_relax_5cyc_rep8_1500step.nc,4,0.008,tetint_basin,33,early_region,0.07979991085277961,2.0806262493133545,1.8408738374710083,1.0824240446090698,1.3682531118392944,2.896941661834717,3.6307549476623535
